row_id,title,model,battery,price_range,zero_to_hundred,top_speed,fastcharge,germany_price_before_incentives,netherlands_price_before_incentives,uk_price_after_incentives,drive_configuration,tow_hitch,towing_capacity_in_kg,number_of_seats
244,Smart,#3 Pro,47.0,147,5.9,180,340 km/h,"€38,490","€38,395","* £35,000",Rear Wheel Drive,Towbar possible,1500.0,5
245,Mini,Countryman SE ALL4,64.7,138,5.6,180,500 km/h,"€49,500","€49,490","£47,180",All Wheel Drive,Towbar possible,1200.0,5
246,Ds,3 E-Tense,50.8,137,9.0,150,480 km/h,"€40,540","€39,640","£37,200",Front Wheel Drive,Towbar possible,1500.0,5
247,Volvo,EX90 Twin Motor Performance,107.0,230,4.9,180,590 km/h,"€96,800","€98,495","£100,555",All Wheel Drive,Towbar possible,2200.0,7
248,Lexus,UX 300e,64.0,161,7.5,160,170 km/h,"* €50,000","* €50,000","£47,495",Front Wheel Drive,Towbar possible,1500.0,5
249,Mercedes-benz,EQE SUV 350 4MATIC,90.6,217,6.6,210,550 km/h,"€89,548","€99,089","£31,995",All Wheel Drive,Towbar possible,1800.0,5
250,Polestar,2 Long Range Performance,79.0,139,4.2,205,670 km/h,"€58,775","€61,700","£57,950",All Wheel Drive,Towbar possible,1500.0,5
251,Xpeng,G9 AWD Performance,93.1,154,3.9,200,1080 km/h,"€69,600","€73,188","£31,995",All Wheel Drive,Towbar possible,1500.0,5
252,Bmw,i5 xDrive40 Sedan,81.2,171,5.4,215,730 km/h,"€75,600","€80,227","£31,995",All Wheel Drive,Towbar possible,2000.0,5
253,Nissan,Ariya e-4ORCE 87kWh - 225 kW,87.0,144,5.7,200,480 km/h,"€61,990","€54,990","£50,845",All Wheel Drive,Towbar possible,1500.0,5
254,Cupra,Tavascan Endurance,77.0,122,6.8,180,670 km/h,"* €52,000","* €55,000","* £50,000",Rear Wheel Drive,Towbar possible,1500.0,5
255,Nio,ET5 75 kWh,70.5,155,4.0,200,590 km/h,"€59,500","€62,700","£31,995",All Wheel Drive,Towbar possible,1400.0,5
256,Mercedes-benz,EQE 350 4MATIC,89.0,157,6.3,210,640 km/h,"€74,149","€86,263","£31,995",All Wheel Drive,Towbar possible,750.0,5
257,Aiways,U5,60.0,131,7.5,150,380 km/h,"€39,563","€42,950","£31,995",Front Wheel Drive,Towbar possible,1500.0,5
258,Citroen,e-C4 X 54 kWh,50.8,125,9.3,150,470 km/h,"€41,540","€40,755","£31,995",Front Wheel Drive,Towbar possible,1500.0,5
259,Mercedes-benz,EQS AMG 53 4MATIC+,108.4,307,3.4,250,800 km/h,"€155,009","€173,825","£31,995",All Wheel Drive,Towbar possible,750.0,5
260,Fiat,500e 3+1 42 kWh,37.3,154,9.0,150,390 km/h,"€36,990","€35,490","£31,995",Front Wheel Drive,Towbar possible,1500.0,4
261,Abarth,500e Hatchback,37.8,172,7.0,155,370 km/h,"€37,990","€38,490","£34,195",Front Wheel Drive,Towbar possible,1500.0,4
262,Opel,Mokka-e 54 kWh,50.8,144,9.0,150,460 km/h,"€44,720","€37,999","£37,260",Front Wheel Drive,Towbar possible,1500.0,5
263,Nio,ET5 Touring 100 kWh,90.0,146,4.0,200,700 km/h,"€68,500","€72,900","£31,995",All Wheel Drive,Towbar possible,1400.0,5
264,Fisker,Ocean Sport,71.0,124,7.4,160,470 km/h,"€43,900","€43,990","£36,900",Front Wheel Drive,Towbar possible,1090.0,5
265,Audi,Q4 Sportback e-tron 55 quattro,77.0,157,5.4,180,620 km/h,"€61,000","€66,665","£58,625",All Wheel Drive,Towbar possible,1200.0,5
266,Mercedes-benz,EQS SUV 450 4MATIC,118.0,247,6.1,210,670 km/h,"€114,609","€129,660","£129,470",All Wheel Drive,Towbar possible,1800.0,7
267,Zeekr,X Long Range RWD,64.0,126,5.6,180,590 km/h,"€45,970","€43,490","£31,995",Rear Wheel Drive,Towbar possible,1600.0,5
268,Cupra,Born 170 kW - 58 kWh,58.0,121,6.6,160,460 km/h,"€40,750","€38,989","£39,205",Rear Wheel Drive,Towbar possible,1500.0,5
269,Citroen,e-C4 54 kWh,50.8,123,9.2,150,470 km/h,"€41,540","€39,905","£31,995",Front Wheel Drive,Towbar possible,1500.0,5
270,Mercedes-benz,EQA 300 4MATIC,66.5,161,7.7,160,500 km/h,"€53,520","€58,959","£31,995",All Wheel Drive,Towbar possible,1800.0,5
271,Nissan,Ariya e-4ORCE 87kWh - 290 kW,87.0,168,5.1,200,480 km/h,"€71,490","€64,990","£31,995",All Wheel Drive,Towbar possible,1500.0,5
272,Genesis,G80 Electrified Luxury,82.5,170,4.9,225,880 km/h,"€69,200","* €50,000","£69,805",All Wheel Drive,Towbar possible,1500.0,5
273,Mercedes-benz,EQE 350,89.0,157,6.4,210,650 km/h,"€70,995","€83,238","£77,345",Rear Wheel Drive,Towbar possible,750.0,5
274,Volkswagen,ID.5 GTX,77.0,142,5.5,180,640 km/h,"€56,455","€62,990","£55,365",All Wheel Drive,Towbar possible,1200.0,5
275,Zeekr,001 Privilege AWD,94.0,139,3.8,200,670 km/h,"€68,970","€68,490","£31,995",All Wheel Drive,Towbar possible,2000.0,5
276,Volkswagen,ID.3 GTX Performance,79.0,118,5.6,200,690 km/h,"* €53,000","* €53,000","* £50,000",Rear Wheel Drive,Towbar possible,1500.0,4
277,Lotus,Eletre S,109.0,255,4.5,250,1000 km/h,"€121,990","€124,090","£105,805",All Wheel Drive,Towbar possible,2250.0,5
278,Volvo,EC40 Twin Motor,79.0,160,4.8,180,600 km/h,"€61,290","* €50,000","£57,805",All Wheel Drive,Towbar possible,1800.0,5
279,Peugeot,e-3008 73 kWh Dual Motor,73.0,136,6.4,180,440 km/h,"* €50,000","* €50,000","* £48,000",All Wheel Drive,Towbar possible,1350.0,5
280,Hongqi,E-HS9 120 kWh,112.0,224,4.9,200,420 km/h,"* €50,000","€102,995","£31,995",All Wheel Drive,Towbar possible,1500.0,5
281,Genesis,GV70 Electrified Sport,74.0,203,4.2,235,860 km/h,"€67,300","* €50,000","£65,105",All Wheel Drive,Towbar possible,1800.0,5
282,Mercedes-benz,EQE SUV 350+,96.0,188,6.9,210,660 km/h,"€86,811","€91,950","£31,995",Rear Wheel Drive,Towbar possible,750.0,5
283,Mercedes-benz,EQE AMG 43 4MATIC,90.6,240,4.2,210,670 km/h,"€104,756","€111,068","£31,995",All Wheel Drive,Towbar possible,750.0,5
284,Ford,Mustang Mach-E SR AWD,72.6,170,6.2,180,430 km/h,"* €50,000","€59,400","£31,995",All Wheel Drive,Towbar possible,750.0,5
285,Mercedes-benz,EQS 500 4MATIC,108.4,229,4.8,210,880 km/h,"€125,378","€145,390","£31,995",All Wheel Drive,Towbar possible,750.0,5
286,Citroen,e-Berlingo XL 50 kWh,50.0,171,11.7,132,340 km/h,"€37,940","€43,178","£31,890",Front Wheel Drive,Towbar possible,750.0,7
287,Mercedes-benz,EQE SUV 500 4MATIC,96.0,238,4.9,210,630 km/h,"€99,841","€116,755","£31,995",All Wheel Drive,Towbar possible,1800.0,5
288,Mercedes-benz,EQE AMG 53 4MATIC+,90.6,275,3.5,220,670 km/h,"€110,706","€128,613","£114,750",All Wheel Drive,Towbar possible,750.0,5
289,Bmw,i5 M60 xDrive Touring,81.2,263,3.9,230,670 km/h,"€101,500","€110,477","£99,995",All Wheel Drive,Towbar possible,2000.0,5
290,Mercedes-benz,EQA 350 4MATIC,66.5,178,6.0,160,500 km/h,"€56,424","€67,308","£54,510",All Wheel Drive,Towbar possible,1800.0,5
